公開可否,開催日,分類,名称,URL,説明文,説明文文字数,サムネイル,補足1テキスト,補足1URL,補足2テキスト,補足2URL,補足3テキスト,補足3URL,補足3URL,メモ
true,2015/10/30,アルス,ARSOMORO (アルス・エレクトロニカおもろーの会) 2015,http://works.uniba.jp/posts/2015-10-arsomoro-2015/,アルス・エレクトロニカの本拠地であるオーストリア・リンツ市に初めて行ってみた、毎年行っている、作家として招待された、たまたま通りかかった、いつか行ってみたい、などいろいろな立場の人の体験談をする会,98,20151030_thumb.jpg,works.uniba.jp,http://works.uniba.jp/posts/2015-10-arsomoro-2015/,connpass,https://uniba.connpass.com/event/21563/,,,,
true,2015/02/12,勉強会,LIG・SHIFTBRAIN・Uniba合同LT会 : 別冊ライトニングトーク Vol. 1,https://mlt.connpass.com/event/10584/,技術的な内容からマネジメントの話など、SHIFTBRAIN/UNIBA/LIGの3社エンジニアLT,49,20150212_thumb.jpg,connpass,https://mlt.connpass.com/event/10584/,,,,,,
true,2014/12/12,勉強会,年末特別号: 月刊ライトニングトーク2014年12月号,https://mlt.connpass.com/event/10225/,技術系・非技術系に関わらずテーマ完全フリーの LT 大会,28,20141212_thumb.jpg,connpass,https://mlt.connpass.com/event/10225/,,,,,,
true,2014/10/07,勉強会,IoT特集: 月刊ライトニングトーク2014年10月号,https://mlt.connpass.com/event/8580/,IoT をテーマに、Arduino、Raspberry Pi、デバイスとインターネットに関する LT,50,20141007_thumb.jpg,connpass,https://mlt.connpass.com/event/8580/,,,,,,
true,2014/08/26,勉強会,月刊ライトニングトーク2014年8月号: MEAN 祭り,https://mlt.connpass.com/event/7779/,MEAN (MongoDB / Express / AngularJS / NodeJS) っぽいもの特集,53,20140826_thumb.jpg,connpass,https://mlt.connpass.com/event/7779/,,,,,,
true,2014/07/24,勉強会,月刊ライトニングトーク 2014年6月+7月号,https://mlt.connpass.com/event/7493/,SHIFTBRAIN/SONICJAM/UNIBA フロントエンド系祭り,36,20140724_thumb.jpg,connpass,https://mlt.connpass.com/event/7493/,,,,,,
true,2014/05/19,勉強会,月刊ライトニングトーク 2014年5月号 (β),https://mlt.connpass.com/event/6346/,きになったコト、試してみたことをみんなで共有する会,25,20140519_thumb.jpg,connpass,https://mlt.connpass.com/event/6346/,,,,,,
true,2013/08/26,エキシビジョン,ユニバ ホームページロボット,http://works.uniba.jp/posts/2013-09-homepagerobot/,ユニバが示す「さわれるインターネット」をまさに具現化したものです。,33,20130826_thumb.jpg,works.uniba.jp,http://works.uniba.jp/posts/2013-09-homepagerobot/,vimeo,https://vimeo.com/73190175,,,,
true,2013/07/11,勉強会,Oculus体験会,https://www.youtube.com/watch?v=ER1zI3PF2sw&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0&index=6,6軸センサー内蔵ヘッドセット「Oculus」を、RYDEN INC.の松本さんがレクチャー,45,20130711_thumb.jpg,YouTube,https://www.youtube.com/watch?v=ER1zI3PF2sw&list=PLEUcYExmVwCUIFw4S6s4eNuFquEhClnl0&index=6,,,,,,
true,2013/07/10,エキシビジョン,ユニバ創立10周年企画,https://www.youtube.com/watch?v=MZ42ah5G4iQ&index=62&list=PLEUcYExmVwCVT7wdLDke0JsbRKWnjLMvf,ユニバ創立10周年企画の映像作品、屋外での撮影風景,25,20130710_thumb.jpg,YouTube,https://www.youtube.com/watch?v=MZ42ah5G4iQ&index=62&list=PLEUcYExmVwCVT7wdLDke0JsbRKWnjLMvf,,,,,,
